brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
Unknown,Magnum Footwear Lifestyle,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3999.0,2099.0,47.511877969492375,Footwear,Women's Footwear,₹2K–5K,4,40–60%,4
Unknown,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> T STAR Wrist Watches""]",,999.0,399.0,60.06006006006006,Watches,Wrist Watches,<₹500,1,60–80%,5
Unknown,Rialto Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3295.0,2795.0,15.174506828528072,Footwear,Women's Footwear,₹2K–5K,4,10–20%,2
Unknown,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2499.0,1249.0,50.02000800320128,Footwear,Women's Footwear,₹1K–2K,3,40–60%,4
Unknown,"Alfajr WY16B Youth Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Alfajr Wrist Watches""]",,5495.0,4995.0,9.099181073703368,Watches,Wrist Watches,₹2K–5K,4,0–10%,1
Unknown,La Briza Ashley Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2299.0,2299.0,0.0,Footwear,Women's Footwear,₹2K–5K,4,0–10%,1
Unknown,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> TAG Heuer Wrist Watches""]",,107750.0,107750.0,0.0,Watches,Wrist Watches,₹5K+,5,0–10%,1
Unknown,Salt N Pepper 13-019 Femme Black Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,4195.0,3146.0,25.005959475566154,Footwear,Women's Footwear,₹2K–5K,4,20–40%,3
Unknown,Shuz Touch Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1499.0,1270.0,15.276851234156103,Footwear,Women's Footwear,₹1K–2K,3,10–20%,2
Skanders,Wrangler Skanders Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]",,2795.0,1817.0,34.991055456171736,Clothing,Men's Clothing,₹1K–2K,3,20–40%,3
